Split,Week,Team,Opponent,Result,Points
2.0,13.0,TIP,NRG,0.0,10.0
2.0,13.0,C9 ,REN,1.0,15.0
2.0,13.0,TIP,CLG,0.0,2.0
2.0,13.0,C9 ,NRG,1.0,23.0
2.0,13.0,CLG,IMT,0.0,5.0
2.0,13.0,DIG, TL,0.0,4.0
2.0,13.0,EL ,VIT,0.0,3.0
2.0,13.0,CLG,TIP,1.0,16.0
2.0,13.0,DIG,FOX,1.0,13.0
2.0,13.0,EL ,H2K,0.0,9.0
2.0,13.0,ROC,UOL,0.0,4.0
2.0,13.0,TL ,DIG,1.0,19.0
2.0,13.0,UOL,ROC,1.0,20.0
2.0,13.0,GIA,FNC,0.0,1.0
2.0,13.0,ROC,FNC,0.0,23.0
2.0,13.0,TL ,IMT,0.0,4.0
2.0,13.0,UOL,VIT,1.0,21.0
2.0,13.0,GIA, OG,0.0,4.0
